1     0.848143     0.00594192      0.00999999     66.1752
1     0.848143     0.00594192      0.00999999     66.1752
1     0.848143     0.00594192      0.00999999     66.1752
1     0.848143     0.00594192      0.00999999     66.1752
1     0.57859     0.00197692      0.0599999     32.8059
1     0.767896     0.00594192      0.00999999     84.0536
1     0.783247     0.00583705      0.00999999     76.041
1     0.783247     0.00583705      0.00999999     76.041
1     -nan     -nan      -1     0
1     -nan     -nan      -1     0
1     0.800206     0.00545979      0.0799999     93.8527
1     0.800206     0.00545979      0.0799999     93.8527
1     0.998247     0.0807192      -0.27     3105.37
1     0.93865     0.00204453      -0.03     64.6897
1     0.844056     0.000957802      0.09     26.6655
1     0.844056     0.000957802      0.09     26.6655
1     1     1      -1     421.038
1     0.784254     0.00647518      -0.1     49.6132
1     0.784254     0.00647518      -0.1     49.6132
1     0.844056     0.000957802      0.09     26.6655
1     0.736974     0.00508626      -0.04     19.5408
1     0.736974     0.00508626      -0.04     19.5408
1     0.736974     0.00508626      -0.04     19.5408
